event_id,match_code,round,team_key,is_home,xg_raw,xg_weighted,xg_reduction_pct,n_shots,n_decided,xg_level,xg_d2,xg_d3plus
15526088,FOsAfMc,9,athletic-club,True,1.293,1.293,0.0,18,0,1.293,0.0,0.0
15526088,FOsAfMc,9,juventude,False,0.8339,0.8339,0.0,10,0,0.8339,0.0,0.0
15526089,lPsJRp,9,operario-pr,True,2.9518,1.9753,33.1,17,3,1.4129,0.7107,0.8282
15526089,lPsJRp,9,nautico,False,2.3073,1.8809,18.5,18,6,1.6052,0.4007,0.3014
15526090,bPsvP,9,ceara,True,1.195,1.195,0.0,10,0,1.195,0.0,0.0
15526090,bPsvP,9,fortaleza,False,1.6818,1.6818,0.0,17,0,1.6818,0.0,0.0
15526091,kOsEO,9,goias,True,0.749,0.749,0.0,17,0,0.749,0.0,0.0
15526091,kOsEO,9,botafogo-sp,False,0.2924,0.2924,0.0,7,0,0.2924,0.0,0.0
15526092,JOsoWc,9,criciuma,True,1.0236,1.0236,0.0,13,0,1.0236,0.0,0.0
15526092,JOsoWc,9,atletico-go,False,1.2965,1.2965,0.0,18,0,1.2965,0.0,0.0
15526093,jOsHPi,9,sport,True,0.8966,0.8966,0.0,13,0,0.8966,0.0,0.0
15526093,jOsHPi,9,clube-de-regatas-brasil,False,1.6014,1.6014,0.0,12,0,1.6014,0.0,0.0
15526094,cJusokeb,9,cuiaba,True,1.2887,1.2887,0.0,22,0,1.2887,0.0,0.0
15526094,cJusokeb,9,novorizontino,False,0.9188,0.9188,0.0,10,0,0.9188,0.0,0.0
15526095,wPspWc,9,vila-nova,True,1.2796,1.2189,4.7,14,3,1.1582,0.1214,0.0
15526095,wPspWc,9,avai,False,0.6643,0.3485,47.5,7,6,0.0327,0.6317,0.0
15526097,EOsAfMc,10,botafogo-sp,True,1.372,1.372,0.0,12,0,1.372,0.0,0.0
15526097,EOsAfMc,10,athletic-club,False,1.0145,1.0145,0.0,8,0,1.0145,0.0,0.0
15526098,bPsokeb,10,novorizontino,True,0.9385,0.9385,0.0,15,0,0.9385,0.0,0.0
15526098,bPsokeb,10,ceara,False,0.5194,0.5194,0.0,5,0,0.5194,0.0,0.0
15526099,yOswP,10,america-mg,True,1.9633,1.9633,0.0,17,0,1.9633,0.0,0.0
15526099,yOswP,10,vila-nova,False,0.8025,0.8025,0.0,12,0,0.8025,0.0,0.0
15526100,JOsJRp,10,operario-pr,True,1.3564,1.3564,0.0,20,0,1.3564,0.0,0.0
15526100,JOsJRp,10,criciuma,False,0.7536,0.7536,0.0,13,0,0.7536,0.0,0.0
15526101,vPsxP,10,fortaleza,True,2.3007,1.8719,18.6,17,6,1.4431,0.8576,0.0
15526101,vPsxP,10,londrina,False,0.2276,0.1927,15.3,9,4,0.1579,0.0697,0.0
15526102,oWcseau,10,atletico-go,True,1.0787,1.0787,0.0,17,0,1.0787,0.0,0.0
15526102,oWcseau,10,sao-bernardo,False,1.82,1.82,0.0,11,0,1.82,0.0,0.0
15526103,kOspWc,10,avai,True,0.4991,0.4991,0.0,7,0,0.4991,0.0,0.0
15526103,kOspWc,10,goias,False,2.225,1.9617,11.8,12,2,1.6984,0.5266,0.0
15526104,lPscJu,10,nautico,True,1.8528,1.8528,0.0,10,0,1.8528,0.0,0.0
15526104,lPscJu,10,cuiaba,False,0.3642,0.3642,0.0,7,0,0.3642,0.0,0.0
15526105,uOsHPi,10,clube-de-regatas-brasil,True,1.6496,1.4664,11.1,33,4,1.2831,0.3665,0.0
15526105,uOsHPi,10,ponte-preta,False,0.5958,0.5641,5.3,10,2,0.5324,0.0633,0.0
15526106,jOsFO,10,juventude,True,1.0639,1.0639,0.0,16,0,1.0639,0.0,0.0
15526106,jOsFO,10,sport,False,0.6948,0.6948,0.0,10,0,0.6948,0.0,0.0
15526108,eausokeb,11,sao-bernardo,True,1.7811,1.7811,0.0,11,0,1.7811,0.0,0.0
15526108,eausokeb,11,novorizontino,False,1.0352,1.0352,0.0,10,0,1.0352,0.0,0.0
15526109,vPsAfMc,11,athletic-club,True,0.8202,0.8202,0.0,12,0,0.8202,0.0,0.0
15526109,vPsAfMc,11,fortaleza,False,1.22,1.22,0.0,14,0,1.22,0.0,0.0
15526113,JOspWc,11,avai,True,0.5538,0.5538,0.0,11,0,0.5538,0.0,0.0
15526113,JOspWc,11,criciuma,False,1.1093,1.1093,0.0,17,0,1.1093,0.0,0.0
15526114,jOslP,11,sport,True,2.2066,2.2066,0.0,8,0,2.2066,0.0,0.0
15526114,jOslP,11,nautico,False,1.1731,1.1731,0.0,19,0,1.1731,0.0,0.0
15526116,yOsFO,11,juventude,True,2.0641,2.0641,0.0,16,0,2.0641,0.0,0.0
15526116,yOsFO,11,america-mg,False,0.8093,0.8093,0.0,16,0,0.8093,0.0,0.0
